issue_id,num_reassignments
CAMEL-19975,1.0
CAMEL-18395,0.0
HADOOP-16953,1.0
CAMEL-19266,0.0
HADOOP-14594,0.0
CAMEL-23220,0.0
HADOOP-15808,0.0
CAMEL-20210,1.0
CAMEL-4670,1.0
CAMEL-275,0.0
HADOOP-15027,1.0
CAMEL-3199,0.0
HADOOP-195,0.0
CAMEL-10437,0.0
HADOOP-9754,0.0
HADOOP-4542,1.0
HADOOP-12457,1.0
CAMEL-10786,2.0
HADOOP-722,0.0
HADOOP-4187,1.0
CAMEL-6479,1.0
CAMEL-7846,0.0
CAMEL-19239,0.0
HADOOP-9097,1.0
CAMEL-12471,0.0
CAMEL-15314,1.0
CAMEL-6465,1.0
CAMEL-15955,3.0
CAMEL-22989,0.0
CAMEL-21470,0.0
CAMEL-13864,0.0
CAMEL-20679,1.0
CAMEL-11698,1.0
CAMEL-12701,0.0
HADOOP-2713,2.0
CAMEL-19111,1.0
CAMEL-19126,0.0
CAMEL-19507,0.0
CAMEL-20502,1.0
CAMEL-20256,0.0
CAMEL-24361,1.0
HADOOP-6584,0.0
HADOOP-8754,0.0
CAMEL-13931,1.0
CAMEL-3060,1.0
CAMEL-3226,1.0
CAMEL-9313,1.0
HADOOP-13130,1.0
HADOOP-2754,1.0
CAMEL-16394,1.0
CAMEL-6192,0.0
CAMEL-12154,1.0
HADOOP-1120,1.0
CAMEL-8092,1.0
CAMEL-4746,1.0
CAMEL-12699,1.0
CAMEL-8372,1.0
CAMEL-6923,0.0
HADOOP-6313,0.0
CAMEL-19413,1.0
HADOOP-12171,0.0
CAMEL-12966,5.0
CAMEL-23314,0.0
CAMEL-11216,1.0
CAMEL-7229,1.0
HADOOP-1217,1.0
HADOOP-11090,2.0
CAMEL-9161,1.0
CAMEL-21617,1.0
CAMEL-5067,0.0
CAMEL-21606,1.0
HADOOP-8767,1.0
CAMEL-22473,0.0
HADOOP-13361,0.0
CAMEL-15767,1.0
CAMEL-15821,1.0
CAMEL-20558,0.0
CAMEL-373,0.0
CAMEL-22685,0.0
CAMEL-11421,1.0
CAMEL-14168,0.0
CAMEL-12830,2.0
CAMEL-3749,1.0
CAMEL-19980,0.0
HADOOP-387,0.0
CAMEL-23001,1.0
HADOOP-18954,3.0
CAMEL-7308,1.0
CAMEL-13842,1.0
CAMEL-4416,0.0
CAMEL-23987,1.0
CAMEL-15098,1.0
CAMEL-23993,1.0
CAMEL-11610,1.0
CAMEL-8343,0.0
CAMEL-19641,1.0
CAMEL-17079,0.0
HADOOP-11252,2.0
CAMEL-22454,0.0
CAMEL-16341,1.0
CAMEL-13929,1.0
HADOOP-3658,1.0
CAMEL-11422,1.0
HADOOP-6146,0.0
CAMEL-22048,1.0
CAMEL-2575,1.0
CAMEL-12589,1.0
CAMEL-13219,1.0
CAMEL-20905,0.0
CAMEL-19974,0.0
CAMEL-21611,0.0
CAMEL-15422,0.0
HADOOP-1692,0.0
CAMEL-14840,0.0
CAMEL-14017,1.0
HADOOP-4213,1.0
CAMEL-14778,1.0
HADOOP-6642,1.0
CAMEL-4515,2.0
CAMEL-17655,0.0
CAMEL-6915,0.0
CAMEL-15122,0.0
CAMEL-9737,0.0
CAMEL-23787,0.0
CAMEL-2181,1.0
CAMEL-3693,1.0
CAMEL-7742,1.0
CAMEL-1265,0.0
HADOOP-11181,0.0
HADOOP-11173,0.0
HADOOP-15881,1.0
CAMEL-8153,1.0
HADOOP-14188,2.0
CAMEL-10584,0.0
CAMEL-20017,1.0
CAMEL-7990,0.0
HADOOP-13202,1.0
CAMEL-432,1.0
HADOOP-6009,1.0
CAMEL-18864,1.0
CAMEL-22444,1.0
CAMEL-16251,0.0
CAMEL-11449,1.0
CAMEL-14670,1.0
HADOOP-4282,1.0
CAMEL-3747,2.0
CAMEL-3536,0.0
HADOOP-16515,1.0
CAMEL-12878,1.0
CAMEL-2197,2.0
HADOOP-11867,3.0
HADOOP-14807,0.0
CAMEL-15413,1.0
HADOOP-15008,0.0
HADOOP-18936,1.0
HADOOP-11049,0.0
HADOOP-15469,0.0
CAMEL-19757,0.0
