loc,cyclomatic_complexity,num_functions,num_files_changed,issue_id,project_name,era,issue_type,defect_prone
171,2.1875,16,1,TIKA-2024,TIKA,pre_ai,Improvement,0
140,2.888888888888889,9,1,TIKA-434,TIKA,pre_ai,Bug,1
185,4.714285714285714,7,2,TIKA-2246,TIKA,pre_ai,Improvement,0
159,5.375,8,1,TIKA-4551,TIKA,ai_era,Improvement,0
341,2.193548387096774,31,1,TIKA-4234,TIKA,ai_era,Improvement,0
362,8.7,10,1,TIKA-2089,TIKA,pre_ai,Bug,1
150,1.5,6,2,TIKA-3987,TIKA,ai_era,Task,0
448,5.421052631578948,19,1,TIKA-4030,TIKA,ai_era,Task,0
1885,3.6031746031746033,126,5,TIKA-4552,TIKA,ai_era,Task,0
3232,3.430167597765363,179,18,TIKA-3402,TIKA,pre_ai,Improvement,0
644,5.954545454545454,22,1,TIKA-2303,TIKA,pre_ai,Improvement,0
288,6.7272727272727275,11,1,TIKA-4796,TIKA,ai_era,Improvement,0
1356,2.1666666666666665,132,4,TIKA-4256,TIKA,ai_era,Task,0
208,2.130434782608696,23,1,TIKA-474,TIKA,pre_ai,Improvement,0
1328,4.537313432835821,67,3,TIKA-3885,TIKA,pre_ai,Improvement,0
1158,5.871794871794871,39,2,TIKA-3889,TIKA,pre_ai,Task,0
248,3.0,17,1,TIKA-2773,TIKA,pre_ai,Task,0
