loc,cyclomatic_complexity,num_functions,num_files_changed,issue_id,project_name,era,real_issue_type,defect_prone_strict
422,2.25531914893617,47,1,HADOOP-2031,HADOOP,pre_ai,Bug,1
1204,3.5076923076923077,65,1,HADOOP-2018,HADOOP,pre_ai,Bug,1
1417,2.8444444444444446,90,1,HADOOP-2016,HADOOP,pre_ai,Bug,1
438,3.6153846153846154,26,1,HADOOP-1771,HADOOP,pre_ai,Bug,1
164,1.4210526315789473,19,1,HADOOP-2053,HADOOP,pre_ai,Bug,1
515,4.0,25,1,HADOOP-2028,HADOOP,pre_ai,Bug,1
244,1.7826086956521738,23,1,HADOOP-1788,HADOOP,pre_ai,Bug,1
1386,3.1839080459770117,87,1,HADOOP-2051,HADOOP,pre_ai,Bug,1
1389,3.1954022988505746,87,1,HADOOP-1973,HADOOP,pre_ai,Bug,1
2781,2.9594594594594597,222,2,HADOOP-2044,HADOOP,pre_ai,Bug,1
2266,2.4489795918367347,196,2,HADOOP-2033,HADOOP,pre_ai,Bug,1
488,1.8888888888888888,36,5,HADOOP-2070,HADOOP,pre_ai,Bug,1
3677,3.0155642023346303,257,9,HADOOP-1855,HADOOP,pre_ai,Improvement,0
1464,2.8487394957983194,119,5,HADOOP-1604,HADOOP,pre_ai,New Feature,0
342,1.8780487804878048,41,1,HADOOP-2080,HADOOP,pre_ai,Bug,1
551,4.038461538461538,26,1,HADOOP-2048,HADOOP,pre_ai,Bug,1
371,2.3421052631578947,38,1,HADOOP-2073,HADOOP,pre_ai,Bug,1
496,2.4901960784313726,51,3,HADOOP-2046,HADOOP,pre_ai,Improvement,0
117,3.0,8,1,HADOOP-1898,HADOOP,pre_ai,Bug,1
485,2.657142857142857,35,1,HADOOP-2096,HADOOP,pre_ai,Bug,1
2930,2.9114583333333335,192,4,HADOOP-1245,HADOOP,pre_ai,Bug,1
811,3.326530612244898,49,1,HADOOP-2098,HADOOP,pre_ai,Bug,1
1579,2.8425925925925926,108,3,HADOOP-1210,HADOOP,pre_ai,Improvement,0
496,2.4901960784313726,51,3,HADOOP-2103,HADOOP,pre_ai,Bug,1
193,1.6111111111111112,18,2,HADOOP-2102,HADOOP,pre_ai,Bug,1
4386,3.0622950819672132,305,5,HADOOP-1912,HADOOP,pre_ai,New Feature,0
859,4.5625,32,1,HADOOP-2089,HADOOP,pre_ai,Bug,1
202,2.347826086956522,23,1,HADOOP-2086,HADOOP,pre_ai,Improvement,0
436,3.2083333333333335,24,3,HADOOP-1185,HADOOP,pre_ai,Improvement,0
4206,1.9530026109660574,383,34,HADOOP-1848,HADOOP,pre_ai,Improvement,0
233,4.333333333333333,12,1,HADOOP-2071,HADOOP,pre_ai,Bug,1
516,2.4901960784313726,51,1,HADOOP-1348,HADOOP,pre_ai,Bug,1
871,4.6875,32,1,HADOOP-1952,HADOOP,pre_ai,Bug,1
549,4.038461538461538,26,1,HADOOP-2174,HADOOP,pre_ai,Bug,1
490,2.293103448275862,58,1,HADOOP-2151,HADOOP,pre_ai,Bug,1
1277,2.7244897959183674,98,2,HADOOP-2121,HADOOP,pre_ai,Bug,1
1702,2.5906040268456376,149,2,HADOOP-1130,HADOOP,pre_ai,Bug,1
249,1.7179487179487178,39,1,HADOOP-2172,HADOOP,pre_ai,Bug,1
2416,3.3195266272189348,169,1,HADOOP-2078,HADOOP,pre_ai,Bug,1
259,1.5,30,1,HADOOP-1642,HADOOP,pre_ai,Bug,1
342,1.8780487804878048,41,1,HADOOP-2212,HADOOP,pre_ai,Bug,1
1848,2.300578034682081,173,4,HADOOP-1843,HADOOP,pre_ai,Improvement,0
1147,6.018867924528302,53,1,HADOOP-2113,HADOOP,pre_ai,Improvement,0
215,1.2564102564102564,39,1,HADOOP-2129,HADOOP,pre_ai,Bug,1
88,1.1875,16,1,HADOOP-2244,HADOOP,pre_ai,Bug,1
921,2.7547169811320753,53,1,HADOOP-1984,HADOOP,pre_ai,Bug,1
1316,2.4464285714285716,112,8,HADOOP-930,HADOOP,pre_ai,New Feature,0
4853,2.6228710462287106,411,8,HADOOP-713,HADOOP,pre_ai,Improvement,0
2925,3.3781094527363185,201,1,HADOOP-3491,HADOOP,pre_ai,Bug,1
127,2.111111111111111,9,2,HADOOP-3193,HADOOP,pre_ai,Improvement,0
2921,3.3781094527363185,201,1,HADOOP-3489,HADOOP,pre_ai,Bug,1
3759,3.2557251908396947,262,3,HADOOP-3509,HADOOP,pre_ai,Bug,1
1014,2.7341772151898733,79,2,HADOOP-3511,HADOOP,pre_ai,Bug,1
1540,3.723684210526316,76,3,HADOOP-3512,HADOOP,pre_ai,Improvement,0
498,3.260869565217391,23,1,HADOOP-3516,HADOOP,pre_ai,Bug,1
1383,2.9722222222222223,72,3,HADOOP-3366,HADOOP,pre_ai,Improvement,0
761,2.9607843137254903,51,1,HADOOP-3528,HADOOP,pre_ai,Bug,1
767,2.168421052631579,95,1,HADOOP-3467,HADOOP,pre_ai,Improvement,0
1413,4.09375,64,2,HADOOP-3379,HADOOP,pre_ai,Improvement,0
499,3.260869565217391,23,1,HADOOP-3542,HADOOP,pre_ai,Bug,1
5365,2.8976190476190475,420,5,HADOOP-3418,HADOOP,pre_ai,Bug,1
990,2.8133333333333335,75,1,HADOOP-3363,HADOOP,pre_ai,Bug,1
1779,2.7572815533980584,103,4,HADOOP-3517,HADOOP,pre_ai,Bug,1
501,3.260869565217391,23,1,HADOOP-3560,HADOOP,pre_ai,Bug,1
501,3.260869565217391,23,1,HADOOP-3545,HADOOP,pre_ai,Bug,1
184,3.4166666666666665,12,1,HADOOP-3561,HADOOP,pre_ai,Bug,1
56,1.0909090909090908,11,1,HADOOP-3565,HADOOP,pre_ai,Bug,1
3005,3.3364928909952605,211,2,HADOOP-3535,HADOOP,pre_ai,Improvement,0
1919,3.2540983606557377,122,1,HADOOP-3539,HADOOP,pre_ai,Bug,1
96,2.142857142857143,7,1,HADOOP-3520,HADOOP,pre_ai,Bug,1
563,3.611111111111111,36,2,HADOOP-1979,HADOOP,pre_ai,Bug,1
2677,2.1447963800904977,221,3,HADOOP-3586,HADOOP,pre_ai,Bug,1
848,2.4125,80,2,HADOOP-3580,HADOOP,pre_ai,Bug,1
3287,3.099099099099099,222,3,HADOOP-3333,HADOOP,pre_ai,Bug,1
2921,3.3781094527363185,201,1,HADOOP-3534,HADOOP,pre_ai,Bug,1
1880,3.1401869158878504,107,1,HADOOP-3546,HADOOP,pre_ai,Bug,1
88,1.9166666666666667,12,1,HADOOP-3569,HADOOP,pre_ai,Bug,1
442,1.2178217821782178,101,1,HADOOP-3599,HADOOP,pre_ai,Improvement,0
358,4.8125,16,1,HADOOP-3320,HADOOP,pre_ai,Bug,1
358,4.8125,16,1,HADOOP-3576,HADOOP,pre_ai,Bug,1
6380,2.626326963906582,471,12,HADOOP-3533,HADOOP,pre_ai,Bug,1
1159,3.918032786885246,61,1,HADOOP-3590,HADOOP,pre_ai,Bug,1
855,2.872340425531915,47,1,HADOOP-3603,HADOOP,pre_ai,Bug,1
469,4.448275862068965,29,1,HADOOP-3537,HADOOP,pre_ai,Bug,1
1010,2.475609756097561,82,1,HADOOP-3487,HADOOP,pre_ai,Bug,1
2837,2.5692307692307694,195,7,HADOOP-3598,HADOOP,pre_ai,Bug,1
