loc,cyclomatic_complexity,num_functions,num_files_changed,token_count,project_name,era,defect_prone
966,2.811320754716981,53,7,8049,CAMEL,ai_era,1
8445,1.9958960328317372,731,23,52676,HADOOP,ai_era,1
377,3.2857142857142856,21,3,3526,CAMEL,pre_ai,1
97,2.857142857142857,7,1,724,CAMEL,pre_ai,1
1279,2.463636363636364,110,2,7860,HADOOP,pre_ai,1
757,3.590909090909091,44,1,4754,HADOOP,pre_ai,1
31,1.5,4,1,160,HADOOP,pre_ai,1
62,2.75,4,1,490,CAMEL,pre_ai,1
999,2.492063492063492,63,1,6962,HADOOP,ai_era,1
1612,3.4871794871794872,117,4,11166,CAMEL,ai_era,1
552,1.6923076923076923,78,2,3107,CAMEL,pre_ai,1
182,1.0,28,4,922,CAMEL,ai_era,1
545,1.84375,64,5,3323,CAMEL,pre_ai,1
455,1.8666666666666667,30,5,3015,HADOOP,ai_era,1
103,1.5,18,2,649,CAMEL,pre_ai,1
1079,6.3125,48,1,8197,HADOOP,pre_ai,1
18716,1.9039855072463767,2208,46,128301,CAMEL,pre_ai,1
4795,4.764102564102564,195,19,40164,CAMEL,ai_era,1
4229,2.6615384615384614,260,5,28073,HADOOP,pre_ai,1
51,2.333333333333333,6,1,358,CAMEL,ai_era,1
1134,1.21875,128,26,6984,CAMEL,ai_era,1
1813,2.782258064516129,124,1,11417,HADOOP,pre_ai,1
57,4.0,3,1,422,CAMEL,pre_ai,1
199,2.0,19,1,1245,HADOOP,pre_ai,1
1116,2.634408602150537,93,5,7685,CAMEL,ai_era,1
113,2.2,10,2,969,CAMEL,pre_ai,1
1795,3.544642857142857,112,10,15041,CAMEL,pre_ai,1
6181,2.254117647058824,425,5,41973,HADOOP,ai_era,1
298,1.0,64,2,1509,CAMEL,pre_ai,1
1483,2.814516129032258,124,2,10421,HADOOP,pre_ai,1
1456,1.4027777777777777,72,5,7311,HADOOP,ai_era,1
4116,3.453488372093023,258,2,27353,HADOOP,pre_ai,1
2928,2.4502369668246446,211,8,20115,HADOOP,pre_ai,1
145,1.3333333333333333,3,2,890,HADOOP,pre_ai,1
126,2.555555555555556,9,1,945,CAMEL,ai_era,1
843,1.8157894736842104,114,1,5736,HADOOP,pre_ai,1
935,2.8095238095238093,84,1,6056,HADOOP,ai_era,1
497,1.8571428571428568,70,3,3200,HADOOP,pre_ai,1
765,1.72,100,2,4917,CAMEL,pre_ai,1
909,5.96969696969697,33,2,7348,CAMEL,ai_era,1
46,1.3333333333333333,3,1,296,HADOOP,ai_era,1
3858,2.7402234636871508,358,2,26241,CAMEL,pre_ai,1
352,1.894736842105263,38,3,2511,CAMEL,pre_ai,1
438,3.0285714285714285,35,1,3058,HADOOP,pre_ai,1
629,1.6666666666666667,81,3,4337,CAMEL,pre_ai,1
60,2.25,4,1,326,HADOOP,pre_ai,1
34998,2.2077424300498274,2609,89,223583,HADOOP,pre_ai,1
1358,2.9405940594059405,101,1,8425,HADOOP,ai_era,1
701,2.583333333333333,60,12,4814,HADOOP,pre_ai,1
27,2.0,1,1,299,CAMEL,ai_era,1
509,2.325,40,2,3697,CAMEL,ai_era,1
46,1.25,4,2,285,CAMEL,pre_ai,1
212,4.636363636363637,11,1,1445,HADOOP,pre_ai,1
1776,15.441176470588236,34,2,15175,CAMEL,pre_ai,1
1325,1.6785714285714286,140,3,9424,CAMEL,ai_era,1
1676,2.575949367088608,158,1,11461,HADOOP,pre_ai,1
861,2.3653846153846154,52,2,5061,HADOOP,ai_era,1
129,2.727272727272727,11,1,957,CAMEL,pre_ai,1
2167,1.3859649122807018,399,4,12389,CAMEL,pre_ai,1
370,3.1739130434782608,23,1,2411,HADOOP,pre_ai,1
238,2.8,15,2,1780,CAMEL,ai_era,1
5429,2.609452736318408,402,3,34401,HADOOP,ai_era,1
190,3.071428571428572,14,2,1183,CAMEL,pre_ai,1
42,1.3333333333333333,3,2,320,CAMEL,ai_era,1
1824,2.657142857142857,70,5,15354,HADOOP,ai_era,1
1425,6.283333333333333,60,1,10989,HADOOP,pre_ai,1
7161,3.0102459016393444,488,7,47972,HADOOP,pre_ai,1
1448,6.754716981132075,53,1,10931,CAMEL,ai_era,1
5144,2.0172413793103448,348,6,32139,HADOOP,ai_era,1
113,2.142857142857143,7,1,805,CAMEL,ai_era,1
422,7.6923076923076925,13,1,2953,CAMEL,ai_era,1
5491,2.4610091743119265,436,20,37225,HADOOP,pre_ai,1
782,2.38,50,2,5591,HADOOP,pre_ai,1
2837,2.569230769230769,195,7,18419,HADOOP,pre_ai,1
164,1.875,16,1,1226,CAMEL,pre_ai,1
14,1.0,1,1,107,CAMEL,pre_ai,1
227,3.1666666666666665,12,2,1749,CAMEL,pre_ai,1
85,3.0,4,1,748,CAMEL,ai_era,1
105,2.0,7,1,547,HADOOP,pre_ai,1
677,2.6296296296296298,54,7,4818,CAMEL,pre_ai,1
235,4.0,8,1,1861,HADOOP,ai_era,1
182,1.4736842105263157,19,1,908,HADOOP,pre_ai,1
561,1.0,1,1,3081,HADOOP,ai_era,1
489,1.4848484848484849,66,4,3338,CAMEL,ai_era,1
3086,2.158671586715867,271,8,19424,HADOOP,ai_era,1
669,2.320754716981132,53,2,5203,CAMEL,ai_era,1
1510,1.437125748502994,167,4,8996,HADOOP,ai_era,1
3255,2.5157232704402515,318,11,23338,CAMEL,pre_ai,1
1126,2.8674698795180724,83,1,7135,HADOOP,pre_ai,1
8226,2.025039123630673,639,23,54672,HADOOP,ai_era,1
420,5.105263157894737,19,2,3408,CAMEL,pre_ai,1
20024,2.8846153846153846,1248,29,132162,HADOOP,ai_era,1
66,1.7142857142857142,7,1,438,HADOOP,pre_ai,1
8607,2.889580093312597,643,7,55402,HADOOP,pre_ai,1
150,2.363636363636364,11,1,1156,CAMEL,pre_ai,1
117,2.5,10,1,844,HADOOP,pre_ai,1
96,1.2941176470588236,17,1,483,CAMEL,pre_ai,1
50,1.2222222222222223,9,1,330,CAMEL,pre_ai,1
783,2.2238805970149254,67,13,5782,CAMEL,ai_era,1
2540,2.408,250,9,17544,CAMEL,pre_ai,1
